,case,case-id,case-value,node,X,Y,Z,FBZ
,Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,[m],[m],[m],[N]
49,"Phased 1, Load-step 40, Load-factor 0.15000",5680,21.299999999999976,74272838,19080.0,-110.3600000000001,-2.840000000000002,255332790.0
50,"Phased 1, Load-step 41, Load-factor 0.20000",5822,28.39999999999993,74272838,19080.0,-110.3600000000001,-2.840000000000002,259863310.0
51,"Phased 1, Load-step 42, Load-factor 0.25000",5964,35.5,74272838,19080.0,-110.3600000000001,-2.840000000000002,264588600.0
52,"Phased 1, Load-step 43, Load-factor 0.30000",6106,42.59999999999995,74272838,19080.0,-110.3600000000001,-2.840000000000002,269140760.0
53,"Phased 1, Load-step 44, Load-factor 0.32500",6248,46.15000000000008,74272838,19080.0,-110.3600000000001,-2.840000000000002,271499983.0
54,"Phased 1, Load-step 45, Load-factor 0.35000",6390,49.700000000000124,74272838,19080.0,-110.3600000000001,-2.840000000000002,273747493.0
55,"Phased 1, Load-step 46, Load-factor 0.37500",6532,53.25,74272838,19080.0,-110.3600000000001,-2.840000000000002,276034710.0
56,"Phased 1, Load-step 47, Load-factor 0.40000",6674,56.79999999999986,74272838,19080.0,-110.3600000000001,-2.840000000000002,278345910.0
57,"Phased 1, Load-step 48, Load-factor 0.42500",6816,60.349999999999845,74272838,19080.0,-110.3600000000001,-2.840000000000002,280710040.0
58,"Phased 1, Load-step 49, Load-factor 0.45000",6958,63.90000000000016,74272838,19080.0,-110.3600000000001,-2.840000000000002,282950080.0
59,"Phased 1, Load-step 50, Load-factor 0.47500",7100,67.45000000000009,74272838,19080.0,-110.3600000000001,-2.840000000000002,285223430.0
60,"Phased 1, Load-step 51, Load-factor 0.50000",7242,71.0,74272838,19080.0,-110.3600000000001,-2.840000000000002,287489500.0
61,"Phased 1, Load-step 52, Load-factor 0.52500",7384,74.55,74272838,19080.0,-110.3600000000001,-2.840000000000002,289764500.0
62,"Phased 1, Load-step 53, Load-factor 0.55000",7526,78.0999999999998,74272838,19080.0,-110.3600000000001,-2.840000000000002,292106800.0
63,"Phased 1, Load-step 54, Load-factor 0.57500",7668,81.65000000000022,74272838,19080.0,-110.3600000000001,-2.840000000000002,294423440.0
64,"Phased 1, Load-step 55, Load-factor 0.60000",7810,85.1999999999999,74272838,19080.0,-110.3600000000001,-2.840000000000002,296712300.0
65,"Phased 1, Load-step 56, Load-factor 0.62500",7952,88.75,74272838,19080.0,-110.3600000000001,-2.840000000000002,298986700.0
66,"Phased 1, Load-step 57, Load-factor 0.65000",8094,92.30000000000015,74272838,19080.0,-110.3600000000001,-2.840000000000002,301270000.0
67,"Phased 1, Load-step 58, Load-factor 0.67500",8236,95.84999999999975,74272838,19080.0,-110.3600000000001,-2.840000000000002,303571700.0
68,"Phased 1, Load-step 59, Load-factor 0.70000",8378,99.40000000000025,74272838,19080.0,-110.3600000000001,-2.840000000000002,305906020.0
69,"Phased 1, Load-step 60, Load-factor 0.72500",8520,102.94999999999978,74272838,19080.0,-110.3600000000001,-2.840000000000002,308208483.0
70,"Phased 1, Load-step 61, Load-factor 0.75000",8662,106.5,74272838,19080.0,-110.3600000000001,-2.840000000000002,310498300.0
71,"Phased 1, Load-step 62, Load-factor 0.77500",8804,110.05000000000025,74272838,19080.0,-110.3600000000001,-2.840000000000002,312732700.0
72,"Phased 1, Load-step 63, Load-factor 0.80000",8946,113.59999999999972,74272838,19080.0,-110.3600000000001,-2.840000000000002,315122800.0
73,"Phased 1, Load-step 64, Load-factor 0.82500",9088,117.15000000000028,74272838,19080.0,-110.3600000000001,-2.840000000000002,317379100.0
74,"Phased 1, Load-step 65, Load-factor 0.85000",9230,120.69999999999969,74272838,19080.0,-110.3600000000001,-2.840000000000002,319660400.0
75,"Phased 1, Load-step 66, Load-factor 0.87500",9372,124.25,74272838,19080.0,-110.3600000000001,-2.840000000000002,321965300.0
76,"Phased 1, Load-step 67, Load-factor 0.90000",9514,127.80000000000032,74272838,19080.0,-110.3600000000001,-2.840000000000002,324284330.0
77,"Phased 1, Load-step 68, Load-factor 0.92500",9656,131.34999999999977,74272838,19080.0,-110.3600000000001,-2.840000000000002,326547290.0
78,"Phased 1, Load-step 69, Load-factor 0.95000",9798,134.90000000000018,74272838,19080.0,-110.3600000000001,-2.840000000000002,328827160.0
79,"Phased 1, Load-step 70, Load-factor 0.97500",9940,138.44999999999965,74272838,19080.0,-110.3600000000001,-2.840000000000002,331168020.0
80,"Phased 1, Load-step 71, Load-factor 1.0000",10082,142.0,74272838,19080.0,-110.3600000000001,-2.840000000000002,333435650.0
